sigma_db,node_id,true_x_m,true_y_m,estimated_x_m,estimated_y_m,error_m,success,failure_reason
0,0,93.89416536315095,30.14620452825978,93.894165363151,30.1462045282598,6.07087979554246e-14,True,
0,1,8.036642284785348,33.29180314859829,8.03664228478528,33.291803148598355,9.298341530198968e-14,True,
0,2,55.82526066361373,85.61981241695517,55.82526066361384,85.61981241695524,1.2809491335957507e-13,True,
0,3,71.69210228164086,68.75959554087012,71.69210228164089,68.75959554087014,3.1776437161565096e-14,True,
0,4,54.00362594645869,45.44740343328356,54.00362594645865,45.447403433283554,4.322062729257126e-14,True,
0,5,80.11276869314742,35.523123299974685,80.11276869314737,35.52312329997474,7.105427357601002e-14,True,
0,6,69.46232657055918,73.09976442434888,69.46232657055927,73.09976442434896,1.2058310082691391e-13,True,
0,7,76.47531270101051,78.47809659723579,76.4753127010105,78.47809659723572,7.246142549764705e-14,True,
0,8,40.09278230226733,34.636278082955116,40.09278230226733,34.636278082955165,4.973799150320701e-14,True,
0,9,57.39544344845955,63.61078475221331,57.39544344845954,63.61078475221331,1.4210854715202004e-14,True,
0,10,68.8873023325835,57.269936084622785,68.8873023325835,57.269936084622714,7.105427357601002e-14,True,
0,11,97.9493509182209,85.03532042458274,97.9493509182208,85.03532042458278,1.0822664515137473e-13,True,
0,12,84.92353192815025,16.10331287000345,84.9235319281503,16.10331287000336,9.851976744714397e-14,True,
0,13,82.03059606542631,2.225089598475667,82.03059606542637,2.2250895984756682,5.685902922862834e-14,True,
0,14,58.47353315478107,66.96046058452855,58.47353315478105,66.96046058452862,7.418283949015283e-14,True,
0,15,25.075750894125633,76.40826728959952,25.075750894125637,76.4082672895996,8.533911106286719e-14,True,
0,16,10.647840719981644,69.63105170187215,10.647840719981682,69.63105170187218,4.6897166265737003e-14,True,
0,17,70.35826785082438,41.51179713691665,70.35826785082435,41.51179713691668,4.0194366942304644e-14,True,
0,18,24.494026528699113,46.8577478691227,24.494026528699123,46.85774786912272,2.3832327871173822e-14,True,
0,19,6.915120295691534,87.65854719606564,6.915120295691533,87.6585471960656,4.264181500047145e-14,True,
0,20,75.84523039705334,91.72803371006896,75.84523039705334,91.72803371006893,2.842170943040401e-14,True,
0,21,37.75750037964265,9.412173064655496,37.75750037964262,9.412173064655507,3.03543989777123e-14,True,
0,22,65.66352249497959,71.77036231080746,65.66352249497959,71.77036231080753,7.105427357601002e-14,True,
0,23,60.523959270027255,74.79125373904218,60.523959270027234,74.79125373904219,2.5618982671915014e-14,True,
0,24,63.55449193928654,29.516082997336255,63.554491939286535,29.516082997336255,7.105427357601002e-15,True,
0,25,72.30953823743259,74.4178557514449,72.30953823743256,74.41785575144485,6.355287432313019e-14,True,
0,26,67.60072800662148,57.32152608609464,67.60072800662145,57.32152608609465,2.929642751054232e-14,True,
0,27,67.63077592528177,73.59318866286374,67.63077592528172,73.59318866286375,4.4938668397781776e-14,True,
0,28,5.562780260263431,41.344382210593636,5.562780260263442,41.344382210593665,3.03543989777123e-14,True,
0,29,58.29507817271991,44.76611177923242,58.295078172719954,44.766111779232475,7.105427357601002e-14,True,
0,30,6.467641361893989,92.12109554143312,6.467641361893973,92.12109554143314,2.1390168887322673e-14,True,
0,31,73.82367481050838,95.88166740072212,73.82367481050835,95.8816674007221,4.0194366942304644e-14,True,
0,32,29.839320076543792,58.08842856642992,29.839320076543753,58.08842856642994,4.451537480371452e-14,True,
0,33,13.371227614128346,1.9781338201105474,13.371227614128458,1.9781338201105874,1.1883349302432093e-13,True,
0,34,31.141044094018135,86.1916778146845,31.141044094018152,86.19167781468447,3.351623381340333e-14,True,
0,35,49.463536169114185,33.685481601468865,49.46353616911418,33.68548160146887,1.0048591735576161e-14,True,
0,36,24.838827007252565,26.50470868432968,24.838827007252544,26.504708684329668,2.5618982671915014e-14,True,
0,37,97.90065141894024,12.447704455050003,97.90065141894027,12.447704455050037,4.412378852824695e-14,True,
0,38,91.58896710498118,58.499477319435044,91.58896710498122,58.499477319435066,4.7664655742347644e-14,True,
0,39,60.201357740545085,43.243601260813065,60.20135774054514,43.24360126081305,5.859285502108464e-14,True,
0,40,6.811035096738519,46.832619468347254,6.811035096738596,46.832619468347225,8.233275021863508e-14,True,
0,41,28.31123123078926,93.86451445296974,28.31123123078946,93.86451445296969,2.0691316789454157e-13,True,
0,42,80.34100762678843,74.61917353020827,80.3410076267886,74.61917353020836,1.9065862296939058e-13,True,
0,43,94.5142584651447,25.660237168632968,94.51425846514474,25.660237168632946,3.552713678800501e-14,True,
0,44,68.34897961501137,32.47848115774552,68.34897961501137,32.47848115774549,2.842170943040401e-14,True,
0,45,81.19147143441458,51.01785564439161,81.19147143441457,51.01785564439155,5.859285502108464e-14,True,
0,46,17.53280478061694,75.59189972215846,17.532804780616946,75.59189972215844,1.5888218580782548e-14,True,
0,47,42.85475590784861,50.06850332048509,42.85475590784862,50.0685033204851,1.0048591735576161e-14,True,
0,48,48.2587707361883,4.463831452944866,48.258770736188325,4.463831452944921,5.822143342219158e-14,True,
0,49,42.589764102655224,85.7072229053037,42.589764102655174,85.70722290530368,5.1728291973635394e-14,True,
0,50,20.835427049452324,66.03497492591494,20.835427049452388,66.03497492591492,6.550880341146756e-14,True,
0,51,39.53383942317885,38.275148178092365,39.53383942317885,38.27514817809236,7.105427357601002e-15,True,
0,52,11.73968930870711,41.676440490526325,11.73968930870714,41.676440490526346,3.696359138182859e-14,True,
0,53,83.84838228756209,22.881009289676847,83.84838228756213,22.881009289676793,6.824540119616012e-14,True,
0,54,57.79819535348073,10.52775213200109,57.79819535348073,10.527752132001119,2.842170943040401e-14,True,
0,55,57.69147740384463,87.30856118634192,57.69147740384477,87.30856118634199,1.5888218580782548e-13,True,
0,56,68.73099969079553,76.7477951809748,68.73099969079554,76.7477951809748,1.4210854715202004e-14,True,
0,57,69.43783013724692,42.311438910227594,69.4378301372469,42.31143891022754,5.859285502108464e-14,True,
0,58,42.98706172611185,86.23500472815522,42.9870617261118,86.23500472815523,5.1728291973635394e-14,True,
0,59,81.45839644942303,68.20042374419498,81.45839644942306,68.20042374419494,5.123796534383003e-14,True,
0,60,56.63718503482395,14.668715911211592,56.63718503482394,14.668715911211592,7.105427357601002e-15,True,
0,61,46.507397806330474,62.64339619539004,46.50739780633045,62.643396195390025,2.5618982671915014e-14,True,
0,62,72.42190513240097,21.781131110666877,72.42190513240097,21.781131110666866,1.0658141036401503e-14,True,
0,63,16.628935524188996,77.9432657873154,16.62893552418914,77.94326578731538,1.4281732235759946e-13,True,
0,64,18.058322353874384,95.09742877982288,18.05832235387442,95.09742877982286,3.8263897345803626e-14,True,
0,65,27.496430785229872,77.26817061067466,27.496430785229872,77.26817061067462,4.263256414560601e-14,True,
0,66,87.43635844487765,59.4845583257959,87.43635844487764,59.4845583257959,1.4210854715202004e-14,True,
0,67,84.16276026695779,3.9969356828890326,84.16276026695773,3.996935682889075,7.105427357601002e-14,True,
0,68,33.21080592300726,86.49444868705424,33.21080592300733,86.49444868705422,7.652779469160725e-14,True,
0,69,19.67688738885476,51.1214106027518,19.676887388854773,51.12141060275181,1.5888218580782548e-14,True,
0,70,63.685548841740484,44.89416857440345,63.685548841740506,44.89416857440342,3.552713678800501e-14,True,
0,71,39.508626195819666,25.95799104163331,39.50862619581968,25.957991041633246,6.550880341146756e-14,True,
0,72,78.92352734491215,44.80873534562332,78.92352734491217,44.80873534562331,2.929642751054232e-14,True,
0,73,54.76582011294073,55.698530760113556,54.76582011294069,55.69853076011359,5.54951617168815e-14,True,
0,74,88.9198272720378,25.954285512454582,88.91982727203776,25.95428551245461,4.0194366942304644e-14,True,
0,75,63.04178817364071,6.065043421209777,63.041788173640725,6.065043421209767,1.724530548492318e-14,True,
0,76,64.31075224396936,47.94269399772743,64.31075224396933,47.942693997727474,5.123796534383003e-14,True,
0,77,90.26069818639597,13.398591553140648,90.26069818639603,13.398591553140687,6.898122193969271e-14,True,
0,78,55.48519491722067,48.450966012570206,55.485194917220674,48.45096601257018,2.929642751054232e-14,True,
0,79,53.61769028030827,21.9388824909848,53.617690280308274,21.938882490984792,1.0048591735576161e-14,True,
1,0,93.89416536315095,30.14620452825978,95.1384992464054,37.302148223617685,7.263325476952528,True,
1,1,8.036642284785348,33.29180314859829,3.7831904536113514,39.86625251497302,7.830404647982281,True,
1,2,55.82526066361373,85.61981241695517,79.34208714154272,87.10708477275197,23.56380925600399,True,
1,3,71.69210228164086,68.75959554087012,76.1679204811484,52.807614940336066,16.568000290767074,True,
1,4,54.00362594645869,45.44740343328356,58.55760849953508,47.497081769316054,4.9939902257538575,True,
1,5,80.11276869314742,35.523123299974685,92.64488808393367,34.68332533724526,12.56022599490651,True,
1,6,69.46232657055918,73.09976442434888,62.721689932167365,65.28966663125686,10.316676297552952,True,
1,7,76.47531270101051,78.47809659723579,80.23861014597759,80.01655784148483,4.06562057493712,True,
1,8,40.09278230226733,34.636278082955116,37.92264595876643,35.40950971350513,2.3037749247412367,True,
1,9,57.39544344845955,63.61078475221331,64.04951399383752,62.53369631793633,6.740680553039129,True,
1,10,68.8873023325835,57.269936084622785,65.81279007493599,57.20820808991605,3.0751318618484182,True,
1,11,97.9493509182209,85.03532042458274,91.04739078848228,79.58094882893982,8.797000803447606,True,
1,12,84.92353192815025,16.10331287000345,77.3602233830634,14.963541438251383,7.648706757669691,True,
1,13,82.03059606542631,2.225089598475667,87.79222221924336,-21.947663808142693,24.849916361902068,True,
1,14,58.47353315478107,66.96046058452855,61.80956766269044,71.39771140041759,5.551425136041202,True,
1,15,25.075750894125633,76.40826728959952,20.884506561418874,75.90431175019285,4.221433434527329,True,
1,16,10.647840719981644,69.63105170187215,6.484975122927652,75.63881838252111,7.309084105977401,True,
1,17,70.35826785082438,41.51179713691665,62.26272086655379,43.06585670717384,8.24335988068218,True,
1,18,24.494026528699113,46.8577478691227,27.541427218378267,45.64608515499755,3.2794477425716213,True,
1,19,6.915120295691534,87.65854719606564,-6.57595175731928,92.56195724437454,14.354527343015725,True,
1,20,75.84523039705334,91.72803371006896,77.79072526640913,79.63921743840979,12.24436315765835,True,
1,21,37.75750037964265,9.412173064655496,45.655287074814446,3.7930714151355067,9.69274667109746,True,
1,22,65.66352249497959,71.77036231080746,64.20230663522815,73.6452497128979,2.3770474457415753,True,
